model,problem,cost,time,solution
average-swap,la01,1162,58.487263441085815,"[831, 484, 342, 104, 564, 545, 732, 916, 288, 9]"
average-swap,la01,1140,57.63303017616272,"[169, 818, 754, 400, 847, 810, 64, 259, 26, 345]"
average-swap,la01,1191,56.13674354553223,"[274, 514, 73, 89, 418, 401, 600, 735, 19, 821]"
average-swap,la01,1168,51.31810235977173,"[766, 4, 391, 37, 389, 838, 186, 854, 572, 0]"
average-swap,la01,1155,56.73275446891785,"[824, 584, 520, 580, 187, 94, 722, 909, 424, 94]"
average-swap,la01,1000,49.93741750717163,"[156, 810, 588, 416, 711, 670, 60, 241, 8, 327]"
cut_crossfill-kswap,la01,1105,89.90025901794434,"[153, 59, 431, 245, 524, 513, 692, 830, 39, 150]"
cut_crossfill-kswap,la01,1155,91.22639918327332,"[121, 538, 474, 495, 884, 791, 25, 206, 394, 785]"
cut_crossfill-kswap,la01,1145,90.37566709518433,"[246, 231, 376, 436, 874, 781, 0, 7, 581, 775]"
cut_crossfill-kswap,la01,1132,89.6030023097992,"[300, 114, 736, 382, 11, 11, 524, 719, 899, 297]"
cut_crossfill-kswap,la01,1100,89.89725828170776,"[235, 22, 688, 516, 787, 770, 139, 320, 2, 406]"
cut_crossfill-kswap,la01,1031,92.81426429748537,"[15, 111, 809, 455, 156, 103, 597, 783, 339, 441]"
cut_crossfill-kswap,la01,1123,87.24497699737549,"[25, 10, 898, 544, 248, 237, 695, 877, 431, 539]"
cut_crossfill-kswap,la01,1028,88.26134872436523,"[173, 842, 620, 414, 746, 687, 77, 272, 39, 358]"
cut_crossfill-kswap,la01,1029,88.22882175445557,"[179, 843, 621, 425, 747, 688, 83, 278, 45, 364]"
cut_crossfill-kswap,la01,1000,91.1728537082672,"[162, 814, 581, 409, 708, 663, 66, 247, 14, 333]"
cut_crossfill-kswap,la01,1103,90.48476099967957,"[525, 169, 881, 207, 5, 16, 415, 610, 352, 696]"
cut_crossfill-kswap,la01,1054,88.72324895858765,"[185, 868, 646, 446, 772, 713, 89, 270, 37, 356]"
cut_crossfill-kswap,la01,1140,89.45937991142273,"[508, 12, 169, 229, 649, 4, 412, 830, 374, 770]"
cut_crossfill-kswap,la01,1123,88.89889645576477,"[439, 16, 569, 54, 696, 643, 206, 877, 884, 12]"
cut_crossfill-kswap,la01,1200,91.05625414848328,"[26, 11, 762, 822, 167, 625, 343, 350, 967, 7]"
cut_crossfill-kswap,la01,1114,87.00777316093445,"[33, 18, 367, 717, 877, 449, 133, 140, 626, 717]"
cut_crossfill-kswap,la01,1132,93.34421944618224,"[182, 741, 620, 408, 842, 802, 72, 267, 34, 353]"
cut_crossfill-kswap,la01,1089,88.40997815132141,"[591, 5, 381, 1, 379, 663, 176, 676, 856, 1]"
cut_crossfill-kswap,la01,1100,88.53758716583252,"[602, 24, 401, 47, 399, 674, 189, 687, 867, 20]"
cut_crossfill-kswap,la01,1099,84.7022922039032,"[116, 22, 571, 217, 569, 769, 366, 784, 2, 113]"
cut_crossfill-kswap,la01,1076,92.57956266403198,"[578, 5, 377, 23, 375, 650, 172, 663, 843, 1]"
cut_crossfill-kswap,la01,1147,90.70194911956789,"[498, 51, 925, 571, 114, 112, 722, 899, 363, 454]"
cut_crossfill-kswap,la01,1091,84.85942697525024,"[134, 40, 582, 226, 849, 761, 368, 556, 20, 131]"
cut_crossfill-kswap,la01,1043,91.93302488327026,"[375, 8, 821, 467, 52, 0, 618, 795, 251, 372]"
cut_crossfill-kswap,la01,1023,93.71353602409364,"[165, 837, 615, 403, 741, 682, 67, 262, 29, 348]"
cut_crossfill-kswap,la01,1056,88.02214431762695,"[242, 42, 675, 503, 802, 726, 146, 341, 24, 427]"
cut_crossfill-kswap,la01,1100,93.971257686615,"[416, 401, 546, 18, 673, 620, 170, 854, 865, 14]"
cut_crossfill-kswap,la01,1132,95.5095796585083,"[730, 18, 401, 47, 399, 802, 189, 815, 582, 14]"
cut_crossfill-kswap,la01,1102,91.86845183372498,"[19, 522, 880, 121, 281, 514, 677, 854, 335, 518]"
cut_crossfill-kswap,la01,1147,92.94637727737428,"[78, 458, 394, 750, 910, 450, 178, 163, 653, 744]"
cut_crossfill-non_uniform,la01,1188,30.58678650856018,"[28, 11, 660, 306, 658, 858, 448, 871, 180, 288]"
cut_crossfill-non_uniform,la01,1106,39.09459638595581,"[85, 181, 700, 138, 827, 367, 315, 693, 873, 22]"
cut_crossfill-non_uniform,la01,1175,39.00352120399475,"[773, 69, 443, 86, 441, 845, 238, 858, 625, 65]"
cut_crossfill-non_uniform,la01,1196,32.20667743682861,"[3, 334, 270, 291, 562, 582, 769, 950, 153, 602]"
cut_crossfill-non_uniform,la01,1127,32.921289682388306,"[119, 25, 453, 215, 546, 535, 714, 875, 5, 114]"
cut_crossfill-non_uniform,la01,1157,33.185020446777344,"[160, 66, 629, 275, 627, 827, 424, 843, 46, 157]"
cut_crossfill-non_uniform,la01,1148,30.596791744232178,"[404, 193, 129, 150, 738, 758, 308, 503, 49, 778]"
cut_crossfill-non_uniform,la01,1099,50.37779402732849,"[76, 172, 693, 129, 820, 358, 309, 684, 866, 13]"
cut_crossfill-non_uniform,la01,1150,36.35974812507629,"[363, 67, 3, 34, 662, 569, 242, 904, 911, 569]"
cut_crossfill-non_uniform,la01,1196,31.193308115005493,"[559, 212, 91, 606, 313, 273, 783, 918, 37, 550]"
cut_crossfill-non_uniform,la01,1133,28.269793033599854,"[154, 60, 624, 270, 881, 803, 419, 614, 40, 151]"
cut_crossfill-non_uniform,la01,1099,40.55235028266907,"[15, 0, 145, 525, 238, 227, 676, 853, 427, 518]"
cut_crossfill-non_uniform,la01,1219,36.75308537483215,"[490, 733, 142, 202, 634, 5, 806, 941, 347, 480]"
cut_crossfill-non_uniform,la01,1200,32.37982797622681,"[31, 10, 605, 433, 172, 656, 787, 922, 367, 6]"
cut_crossfill-non_uniform,la01,1160,40.61640286445618,"[37, 274, 594, 84, 396, 640, 747, 882, 461, 21]"
cut_crossfill-non_uniform,la01,1170,38.10124349594116,"[363, 94, 30, 428, 123, 86, 636, 831, 587, 800]"
cut_crossfill-non_uniform,la01,1087,30.149410009384155,"[137, 43, 413, 229, 506, 495, 674, 809, 23, 132]"
cut_crossfill-non_uniform,la01,1189,34.27795767784119,"[786, 38, 585, 224, 583, 859, 380, 872, 20, 127]"
cut_crossfill-non_uniform,la01,1276,41.35904479026794,"[554, 539, 187, 206, 695, 15, 863, 998, 395, 535]"
cut_crossfill-non_uniform,la01,1235,29.0224392414093,"[71, 364, 7, 355, 515, 715, 822, 957, 194, 360]"
cut_crossfill-non_uniform,la01,1141,30.25650191307068,"[13, 514, 338, 103, 560, 575, 728, 876, 284, 5]"
cut_crossfill-non_uniform,la01,1115,34.9175078868866,"[80, 176, 326, 133, 425, 372, 702, 706, 609, 14]"
